"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Transfer Learning and Hybrid Deep Convolutional Neural Networks Models for Autism Spectrum Disorder Classification From EEG Signals","N. K. Al-Qazzaz; A. A. Aldoori; A. K. Buniya; S. H. B. M. Ali; S. A. Ahmad","Department of Biomedical Engineering, Al-Khwarizmi College of Engineering, University of Baghdad, Baghdad, Iraq; Department of Biomedical Engineering, Al-Khwarizmi College of Engineering, University of Baghdad, Baghdad, Iraq; Department of Biomedical Engineering, Al-Khwarizmi College of Engineering, University of Baghdad, Baghdad, Iraq; Department of Electrical Electronic and Systems Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia (UKM), Bangi, Selangor, Malaysia; Department of Electrical and Electronic Engineering, Faculty of Engineering, Universiti Putra Malaysia (UPM), Serdang, Selangor, Malaysia",IEEE Access,"9 May 2024","2024","12","","64510","64530","Autism spectrum disorder (ASD) is a developmental disease characterised by restricted and repetitive behaviours, as well as difficulty in social communication and interaction, in children. The clinical diagnosis of ASD is reached by behavioural screening, which delays early intervention. Electroencephalography (EEG) is a method for analysing the brain’s electrical activity that has proven useful in the diagnosis of several neurological illnesses. Pre-trained deep Convolutional Neural Networks (CNNs) were used to extract features from the spectral profiles of the EEG dataset and classify patients into mild, moderate, and severe patients, as well as age-matched control subjects. Accordingly, the primary goal of this study is to use the pre-trained CNNs as classifiers in order to reap the benefits of transfer learning, and the secondary goal is to propose a hybrid model by employing decision tree (DT), K nearest neighbour (KNN), and a Support Vector Machine (SVM) machine learning classification techniques to categorise the features of the pre-trained CNN networks into mild, moderate, severe, and normal categories. The results show that using SqueezeNet for transfer learning improves classification accuracy to 85.5%, and that using SqueezeNet for hybrid models improves classification accuracy to 87.8% using SVM. Therefore, a hybrid model based on the combination of SqueezeNet and SVM might be utilised to automatically diagnose ASD based on the individual’s EEG data.","2169-3536","","10.1109/ACCESS.2024.3396869","Fundamental Research Grant Scheme (FRGS), Ministry of Higher Education, Malaysia(grant numbers:FRGS/1/2021/TK0/UPM/02/29); Universiti Kebangsaan Malaysia(grant numbers:DIP-2023-008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10520303","Autism;EEG;deep learning;transfer learning;convolutional neural networks;machine learning","Electroencephalography;Brain modeling;Autism;Feature extraction;Deep learning;Transfer learning;Task analysis;Convolutional neural networks;Machine learning","","32","","64","CCBYNCND","6 May 2024","2024","","IEEE","IEEE Journals"
"Toward Unbiased Facial Expression Recognition in the Wild via Cross-Dataset Adaptation","B. Han; W. -H. Yun; J. -H. Yoo; W. H. Kim","Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; Department of Computer Science and Engineering, The University of Texas at Arlington, Arlington, USA",IEEE Access,"9 Sep 2020","2020","8","","159172","159181","Despite various success in computer vision with facial images (e.g., face detection, recognition, and generation), facial expression recognition is still a challenging problem yet to be solved. This is because of simple but fundamental bottlenecks: 1) no global agreement on different facial expressions, 2) significant dataset biases that prevent cross-dataset analysis for a large-scale study, and 3) high class imbalance in in-the-wild datasets that causes inconsistency in predicting expressions in images using a machine learning algorithm. To tackle these issues, we propose a novel Deep Learning approach via adaptive cross-dataset scheme. We combine multiple in-the-wild datasets to secure sufficient training samples while minimizing dataset bias using ideas of reversal gradients to retain generality. For this, we introduce a flexible objective function that can control for skewed label distributions in the dataset. Incorporating these ideas, together with the ResNet pipeline as a backbone, we carried extensive experiments to validate our ideas using three independent in-the-wild facial expression datasets, which first confirmed bias from different datasets and yielded improved performance on facial expression recognition using the multi-site dataset.","2169-3536","","10.1109/ACCESS.2020.3018738","Institute of Information & Communications Technology Planning & Evaluation (IITP); Korea government (MSIT) (2019-0-00330, Development of AI Technology for Early Screening of Infant/Child Autism Spectrum Disorders based on Cognition of the Psychological Behavior and Response); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9174732","Cross-dataset bias;deep learning;domain adaptation;facial expression recognition;in-the-wild dataset","Feature extraction;Face recognition;Training;Machine learning;Face;Entropy;Psychology","","19","","42","CCBY","24 Aug 2020","2020","","IEEE","IEEE Journals"
"Deep Learning (DL)-Enabled System for Emotional Big Data","H. Wang; D. P. Tobón V.; M. S. Hossain; A. E. Saddik","MCRLAB, School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada; MCRLAB, School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; MCRLAB, School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada",IEEE Access,"26 Aug 2021","2021","9","","116073","116082","Emotion care for human well-being is important for all ages. In this paper, we propose an emotion care system based on big data analysis for autism disorder patient training, where emotion is detected in terms of facial expression. The expression can be captured through a camera as well as Internet of Things (IoT)-enabled devices. The system works with deep learning techniques on emotional big data to extract emotional features and recognize six kinds of facial expressions in real-time and offline. A convolutional neural network (CNN) model based on MobileNet V1 structure is trained with two emotional datasets, FER-2013 dataset and a new proposed dataset named MCFER. The experiments on three strategies showed that the proposed system with deep learning model obtained an accuracy of 95.89%. The system can also detect and track multiple faces as well as recognize facial expressions with high performance on mobile devices with a speed of up to 12 frames per second.","2169-3536","","10.1109/ACCESS.2021.3103501","Researchers Supporting Project(grant numbers:RSP-2021/32); King Saud University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509432","Convolutional neural network;emotion;facial expression recognition;mobile application","Smart phones;Emotion recognition;Faces;Face recognition;Deep learning;Support vector machines;Feature extraction","","9","","43","CCBY","9 Aug 2021","2021","","IEEE","IEEE Journals"
"Affective Computational Model to Extract Natural Affective States of Students With Asperger Syndrome (AS) in Computer-Based Learning Environment","A. Dawood; S. Turner; P. Perepa","Department of Computing, University of Northampton, Northampton, U.K.; Department of Computing, University of Northampton, Northampton, U.K.; Department of Special Education Needs and Inclusion, University of Northampton, Northampton, U.K.",IEEE Access,"28 Nov 2018","2018","6","","67026","67034","This paper was inspired by looking at the central role of emotion in the learning process, its impact on students’ performance; as well as the lack of affective computing models to detect and infer affective-cognitive states in real time for students with and without Asperger Syndrome (AS). This model overcomes gaps in other models that were designed for people with autism, which needed the use of sensors or physiological instrumentations to collect data. The model uses a webcam to capture students’ affective-cognitive states of confidence, uncertainty, engagement, anxiety, and boredom. These states have a dominant effect on the learning process. The model was trained and tested on a natural-spontaneous affective dataset for students with and without AS, which was collected for this purpose. The dataset was collected in an uncontrolled environment and included variations in culture, ethnicity, gender, facial and hairstyle, head movement, talking, glasses, illumination changes, and background variation. The model structure used deep learning (DL) techniques like convolutional neural network and long short-term memory. The DL is the-state-of-art tool that used to reduce data dimensionality and capturing non-linear complex features from simpler representations. The affective model provides reliable results with accuracy 90.06%. This model is the first model to detected affective states for adult students with AS without physiological or wearable instruments. For the first time, the occlusions in this model, like hand over face or head were considered an important indicator for affective states like boredom, anxiety, and uncertainty. These occlusions have been ignored in most other affective models. The essential information channels in this model are facial expressions, head movement, and eye gaze. The model can serve as an aided-technology for tutors to monitor and detect the behaviors of all students at the same time and help in predicting negative affective states during learning process.","2169-3536","","10.1109/ACCESS.2018.2879619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8522016","Affective model;affective-cognitive states;autism;Asperger Syndrome;AS;CNN;deep learning;LSTM","Autism;Computational modeling;Instruments;Tools;Face recognition;Physiology","","16","","67","CCBY","4 Nov 2018","2018","","IEEE","IEEE Journals"
"A Quantum-Based Machine Learning Approach for Autism Detection Using Common Spatial Patterns of EEG Signals","S. Saranya; R. Menaka","School of Electronics Engineering, Vellore Institute of Technology, Chennai, Tamil Nadu, India; Centre for Cyber Physical Systems, Vellore Institute of Technology, Chennai, Tamil Nadu, India",IEEE Access,"28 Jan 2025","2025","13","","15739","15750","Autism Spectrum Disorder (ASD) significantly impacts social communication, interaction, and behavior. Early diagnosis and timely intervention can improve outcomes by enabling tailored therapeutic strategies. Electroencephalography (EEG) has emerged as a non-invasive tool to capture brain activity and facilitate the early detection of ASD using machine learning techniques. However, attaining high accuracy with minimal EEG channels remains a challenge. This study analyzed EEG data from 10 children with ASD and 10 Typically Developed (TD) children using three electrode combinations: C3-C4, C3-Cz, and C4-Cz. EEG signals were spatially filtered using a wavelet-based regularized filter bank common spatial pattern. Key features, including peak-to-peak amplitude, were extracted, and correlation-based feature selection identified the most informative features. Classification with Support Vector Machine (SVM) identified the C4-Cz pair as the most effective, achieving the highest accuracy. Further analysis applied Neural Networks (NN), Quantum Support Vector Machines (QSVM), and Quantum Neural Networks (QNN) to classify data from the C4-Cz pair. QSVM with amplitude embedding feature map outperformed others, achieving an accuracy of 94.7%. Performance was further improved by incorporating an enhanced feature set comprising peak frequency, Stockwell transform coefficients, and peak-to-peak amplitude. The proposed system, leveraging these refined features and QSVM, achieved an exceptional accuracy of 98.9%. To our knowledge, this is the first study utilizing an enhanced feature set derived from reduced brain lobes and quantum machine learning for ASD classification, offering a novel and highly accurate diagnostic approach.","2169-3536","","10.1109/ACCESS.2025.3531979","Vellore Institute of Technology, Chennai; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10847864","Autism spectrum disorder;quantum neural network;quantum support vector machine;wavelet;common spatial pattern","Feature extraction;Electroencephalography;Support vector machines;Accuracy;Autism;Filter banks;Brain modeling;Nearest neighbor methods;Classification algorithms;Motors","","14","","48","CCBY","20 Jan 2025","2025","","IEEE","IEEE Journals"
"Robotics Utilization in Automatic Vision-Based Assessment Systems From Artificial Intelligence Perspective: A Systematic Review","R. F. N. Alshammari; H. Arshad; A. H. A. Rahman; O. S. Albahri","Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia (UKM), Bangi, Selangor, Malaysia; Institute of IR4.0, Universiti Kebangsaan Malaysia (UKM), Bangi, Selangor, Malaysia; Center for Artificial Intelligence Technology, Universiti Kebangsaan Malaysia (UKM), Bangi, Selangor, Malaysia; Computer Techniques Engineering Department, Mazaya University College, Nasiriyah, Iraq",IEEE Access,"29 Jul 2022","2022","10","","77537","77570","This study presents a systematic review of the automatic vision-based assessment systems and models from related fields over the last 6 years. Many studies focus on automatic vision-based assessment in the area of robotics, artificial intelligence and virtual reality or augmented reality (AR) to enhance the communication between humans and machines for general purposes. Three reliable databases, IEEEXplore, Science Direct and Web of Science, were used to obtain relevant studies on the given topic. Several stages of filtering and scanning were applied according to the inclusion/exclusion criteria to filter the obtained 3505 papers from 2015 to 2020. Finally, 97 papers met the criteria. They were classified into four main categories based on their field by following the scientific taxonomy: computer-vision-based, robotics-based, AR-based and hybrid-based categories, accounting for 42.26% (n = 41/97 papers), 48.45% (n = 47/97 papers), 6.18% (n = 6/97 papers) and 4.12% (n = 4/97 papers), respectively. Subsequently, a deep and critical analysis of this multifield systematic review highlighted new research opportunities, motivations, challenges and recommendations that need attention to integrate interdisciplinary studies. Thus, automatic vision-based assessment, which is a field requiring automated solutions, tools and methods, enhances the ability of the assistive technology and facilitates the interaction of individuals with machines. Many studies have been conducted on the automatic vision-based assessment systems and their subtypes to promote accurate communication and performance evaluation in human–machine interaction. This study can provide researchers with useful guides and valuable information for future research. This study also addresses the ambiguity of automatic vison-based assessment models in interdisciplinary fields.","2169-3536","","10.1109/ACCESS.2022.3188264","Universiti Kebangsaan Malaysia (UKM)(grant numbers:TAP-K009683,TT-2021-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9815063","Artificial intelligence;assessment;engagement;evaluation;robotics","Robots;Artificial intelligence;Taxonomy;Systematics;Education;Databases;Task analysis","","19","","103","CCBY","4 Jul 2022","2022","","IEEE","IEEE Journals"
"CNN Learning Strategy for Recognizing Facial Expressions","D. -H. Lee; J. -H. Yoo","Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea",IEEE Access,"19 Jul 2023","2023","11","","70865","70872","The ability to recognize facial expressions using computer vision is a crucial task that has numerous potential applications. Although deep neural networks have achieved high performance, their use in the recognition of facial expressions is still challenging. This is because different facial expressions have varying degrees of similarities among themselves, and numerous variations cause diversity in the same facial images. In this study, we propose a novel divide-and-conquer-based learning strategy to improve the performance of facial expression recognition (FER). The face area in an image was detected using MobileNet, and a ResNet-18 model was employed as a backbone deep neural network for recognizing facial expressions. Subsequently, groups containing similar facial expressions were categorized by analyzing the confusion matrix, which represents the inference results of the trained ResNet-18 model, and these similar facial expression groups were then utilized to re-train the deep learning model. In the experiments, the proposed method was evaluated using two thermal (Tufts and RWTH) and two RGB (RAF and FER2013) datasets. The results demonstrate improved FER performance, with an accuracy of 97.75% for Tufts, 86.11% for RWTH, 90.81% for RAF, and 77.83% for FER2013. As such, the proposed method can accurately classify large amounts of facial expression data.","2169-3536","","10.1109/ACCESS.2023.3294099","Korean Government (MSIT) through the Development of AI Technology for Early Screening of Infant/Child Autism Spectrum Disorders Based on Cognition of the Psychological Behavior and Response(grant numbers:2019-0-00330); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177800","Convolutional neural network;divide-and-conquer;facial expression recognition;learning strategy","Feature extraction;Convolutional neural networks;Face recognition;Training;Support vector machines;Face detection;Data models","","21","","49","CCBYNCND","10 Jul 2023","2023","","IEEE","IEEE Journals"
"Can Facial Expressions Induce Haptic Perception?","N. Matsuyama; S. Matsuda; T. Hachisu","University of Tsukuba, Tsukuba, Japan; University of Tsukuba, Tsukuba, Japan; University of Tsukuba, Tsukuba, Japan",IEEE Transactions on Haptics,"21 Dec 2023","2023","16","4","634","639","A key challenge in haptics is designing human–human communications involving touch to facilitate positive effects on social interactions. An important consideration in designing social touch is understanding the effect of social stimuli on perception, in addition to that of a physical stimulus, because social touch always involves a partner. This study presents an experiment to demonstrate that facial expressions induce haptic perception. We developed a human–agent interaction system on a display in which participants moved the mouse cursor to click the target icon while the agent behaved as if it pulled the cursor back in the opposite direction, showing either a negative or neutral face. The perceived force during the interaction was quantified by the control display ratio using a psychophysical approach. The results show that the negative face induced a significantly greater perceived force than the neutral face. In addition, the perceived force correlated with the individual's evaluation of the facial expression; that is, the more unpleasant or aroused they perceived the facial expression to be, the more force they perceived. This study sheds light on the design of social touch performed by people who have physical or mediated contact with each other in physical space or cyberspace.","2329-4051","","10.1109/TOH.2023.3275657","JST, CREST(grant numbers:JPMJCR22P4); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10123985","Facial expressions;human–agent interactions;haptic perception;social touch","Force;Face recognition;Haptic interfaces;Mice;Visualization;Human activity recognition;Social factors","Humans;Touch Perception;Facial Expression;Stereognosis;Touch","3","","25","CCBY","12 May 2023","Oct.-Dec. 2023","","IEEE","IEEE Journals"
"Usability Evaluation Methods and Life Skills for Individuals With Autism Spectrum Disorder: A Systematic Literature Review","H. Ullah; S. Jan; J. Khan; F. Alturise","Department of Computer Software Engineering, University of Engineering and Technology at Peshawar, Peshawar, Pakistan; Department of Computer Software Engineering, University of Engineering and Technology at Mardan, Mardan, Pakistan; School of Computing, Gachon University, Seongnam, Republic of Korea; Department of Cybersecurity, College of Computer, Qassim University, Buraydah, Saudi Arabia",IEEE Access,"22 Sep 2025","2025","13","","162027","162047","Human Computer Interaction (HCI) technologies are increasingly used to support individuals with Autism Spectrum Disorder (ASD), yet their usability and effectiveness remain underexplored. Individuals diagnosed with autism frequently engage with software applications; however, many fail to address core challenges outlined in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5), particularly in communication, social interaction, and behavior. This systematic literature review (SLR) examines usability evaluation methods (UEMs) and their role in enhancing life skills for individuals with ASD, focusing on these three domains. This study employs the Tollgate approach to establish clear inclusion and exclusion criteria. A comprehensive search across five major databases (ACM Digital Library, Springer Link, IEEE Xplore, ScienceDirect, and Google Scholar) yielded 3,436 articles, of which 65 were selected for analysis. Findings reveal that questionnaires are the most commonly used UEMs (24.18%), with a stronger emphasis on social interaction and communication than on other ASD-related challenges. This SLR offers a systematic foundation for designing user-centered applications that improve social, communication, and behavioral life skills in individuals with ASD.","2169-3536","","10.1109/ACCESS.2025.3607021","Deanship of Graduate Studies and Scientific Research at Qassim University(grant numbers:QU-APC-2025); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11153414","Autism spectrum disorders;life skills;software applications;systematic literature review;human computer interaction;usability evaluation methods","Usability;Systematic literature review;Autism;Software;Adaptation models;Systematics;Speech recognition;Planning;Object recognition;Testing","","","","59","CCBY","8 Sep 2025","2025","","IEEE","IEEE Journals"
"Exploring the Structural and Strategic Bases of Autism Spectrum Disorders With Deep Learning","F. Ke; S. Choi; Y. H. Kang; K. -A. Cheon; S. W. Lee","Hubei Key Laboratory of Modern Manufacturing Quality Engineering, School of Mechanical Engineering, Hubei University of Technology, Wuhan, China; Department of Psychiatry, Severance Children’s Hospital, Division of Child and Adolescent Psychiatry, Institute of Behavioral Science in Medicine, Yonsei University College of Medicine, Seoul, South Korea; Brain and Cognitive Engineering Program, Korea Advanced Institute of Science Technology (KAIST), Daejeon, South Korea; Department of Psychiatry, Severance Children’s Hospital, Division of Child and Adolescent Psychiatry, Institute of Behavioral Science in Medicine, Yonsei University College of Medicine, Seoul, South Korea; Department of Bio and Brain Engineering, Brain and Cognitive Engineering Program, Center for Neuroscience-inspired AI, KI for Health Science Technology, KI for Artificial Intelligence, Korea Advanced Institute of Science Technology (KAIST), Daejeon, South Korea",IEEE Access,"28 Aug 2020","2020","8","","153341","153352","Deep learning models are applied in clinical research in order to diagnose disease. However, diagnosing autism spectrum disorders (ASD) remains challenging due to its complex psychiatric symptoms as well as a generally insufficient amount of neurobiological evidence. We investigated the structural and strategic bases of ASD using 14 different types of models, including convolutional and recurrent neural networks. Using an open source autism dataset consisting of more than 1000 MRI scan images and a high-resolution structural MRI dataset, we demonstrated how deep neural networks could be used as tools for diagnosing and analyzing psychiatric disorders. We trained 3D convolutional neural networks to visualize combinations of brain regions, thus representing the most referred-to regions used by the model whilst classifying the images. We also implemented recurrent neural networks to classify the sequence of brain regions efficiently. We found emphatic structural and strategic evidence on which the model heavily relies during the classification process. For instance, we observed that the structural and strategic evidence tends to be associated with subcortical structures, including the basal ganglia (BG). Our work identifies the distinct brain structures that characterize a complex psychiatric disorder while streamlining the deductive reasoning that clinicians can use to ensure an economical and time-efficient diagnosis process.","2169-3536","","10.1109/ACCESS.2020.3016734","Scientific and Technological Research of Education Department of Hubei Province(grant numbers:Q20181408); Scientific Research Foundation of Science and Technology Department of Hubei Province(grant numbers:2018CFB276); Doctor Launching Fund of the Hubei University of Technology(grant numbers:BSQD20160004); Hubei Chenguang Talented Youth Development Foundation (HBCG)(grant numbers:2017109); Institute for Information & Communications Technology Planning & Evaluation (IITP) Grant funded by the Korea government [Ministry of Science and Information and Communication Technology (MSIT)](grant numbers:2019-0-01371); Development of brain-inspired AI with human-like intelligence), the National Research Foundation of Korea (NRF) Grant funded by the Korea government (MSIT)(grant numbers:NRF-2019M3E5D2A01066267); Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI) Grant funded by the Korea government [Ministry Of Health and Welfare (MOHW)](grant numbers:HI12C0021-A120029); National Research Foundation of Korea (NRF) Grant funded by the Korea government (MSIT)(grant numbers:NRF-2016R1A2B4006737); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9167246","Deep learning;sMRI;austism spectrum disorders;neural networks","Magnetic resonance imaging;Three-dimensional displays;Autism;Brain modeling;Diseases;Machine learning;Biological system modeling","","71","","58","CCBY","14 Aug 2020","2020","","IEEE","IEEE Journals"
"Natural-Spontaneous Affective-Cognitive Dataset for Adult Students With and Without Asperger Syndrome","A. Dawood; S. Turner; P. Perepa","Department of Computing, University of Northampton, Northampton, U.K.; Department of Computing, University of Northampton, Northampton, U.K.; Department of Education, University of Northampton, Northampton, U.K.",IEEE Access,"24 Jun 2019","2019","7","","77990","77999","Any viable algorithm to infer affective states of individuals with autism requires natural and reliable data in real time and in an uncontrolled environment. For this purpose, this study provides a new natural-spontaneous affective-cognitive dataset based on facial expressions, eye gaze, and head movements for adult students with and without Asperger syndrome (AS). The data gathering and collecting in a computer-based learning environment is one of the significant areas, which has attracted researchers' attention in affective computing applications. Due to the important impact of emotions on students learning outcome and their performance, the dataset included a range of affective-cognitive states which goes beyond basic emotions. This study reports the methodology that was used in data collection and annotation. Description and comparison of other available datasets were summarized, and also the study presents the results that were concluded in more details. In addition, some challenges were inherent to this study.","2169-3536","","10.1109/ACCESS.2019.2921914","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8733795","Emotional dataset;autism;Asperger syndrome;spontaneous;natural;facial expressions;affective computing;affective-cognitive states","Autism;Head;Visualization;Lighting;Videos;Real-time systems;Data collection","","2","","84","OAPA","10 Jun 2019","2019","","IEEE","IEEE Journals"
"A Mobile Game for Automatic Emotion-Labeling of Images","H. Kalantarian; K. Jedoui; P. Washington; D. P. Wall","School of Medicine and the Department of Pediatrics and Biomedical Data Science,  Stanford University, Stanford, CA, USA; Department of Mathematics and the School of Medicine, Stanford University, Stanford, CA, USA; Department of Bioengineering and the School of Medicine, Stanford University, Stanford, CA, USA; School of Medicine and the Department of Pediatrics and Biomedical Data Science,  Stanford University, Stanford, CA, USA",IEEE Transactions on Games,"17 Jun 2020","2020","12","2","213","218","In this short paper, we describe challenges in the development of a mobile charades-style game for delivery of social training to children with autism spectrum disorder (ASD). Providing real-time feedback and adapting game difficulty in response to the child's performance necessitates the integration of emotion classifiers into the system. Due to the limited performance of existing emotion recognition platforms for children with ASD, we propose a novel technique to automatically extract emotion-labeled frames from video acquired from game sessions, which we hypothesize can be used to train new emotion classifiers to overcome these limitations. Our technique, which uses probability scores from three different classifiers and meta information from game sessions, correctly identified 83% of frames compared to a baseline of 51.6% from the best emotion classification API evaluated in this paper.","2475-1510","","10.1109/TG.2018.2877325","National Institutes of Health(grant numbers:1R21HD091500-01,1R01EB025025-01); Thrasher Research Fund and in part by the Stanford NLM Clinical Data Science program(grant numbers:T-15LM007033-35); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8501577","Autism;crowdsourcing;emotion;mobile, domain adaptation, machine learning, deep learning","Games;Autism;Emotion recognition;Medical treatment;Training;Databases;Pediatrics","","44","","35","OAPA","21 Oct 2018","June 2020","","IEEE","IEEE Journals"
"Emotion Analysis of Children’s Drawings","S. Çiftçi; H. Karcı; N. Karaca; B. Söylemez; H. Koçakoğlu","Department of Computer Engineering, Harran University, Şanlıurfa, Türkiye; Department of Electrical and Electronic Engineering, Harran University, Şanlıurfa, Türkiye; Department of Computer Engineering, Harran University, Şanlıurfa, Türkiye; Department of Computer Engineering, Harran University, Şanlıurfa, Türkiye; Vasıf Çınar Primary School, İzmir, Türkiye",IEEE Access,"16 Sep 2025","2025","13","","159730","159748","This study investigates children’s emotional expression through the computational analysis of their drawings. Prior research has frequently relied on proprietary or small-scale datasets, often limited to digital drawings produced on tablets or smartphones, which may not fully capture the natural characteristics of hand-drawn expression. To address these gaps, we introduce KIDO, a novel publicly available dataset of scanned children’s drawings paired with reflections written by the children on whether their drawings represent happiness or sadness. The dataset contains contributions from 5,430 students, with balanced representation across primary and secondary education levels and additional metadata on gender and educational background. For our experiments, we employed CNN-based and Vision Transformer–based models for emotion recognition, obtaining F1-scores of up to 79.03% from drawings, while BERT-based models achieved accuracies of up to 97.47% in classifying children’s written reflections. We further trained a generative model on the KIDO dataset to synthesize emotionally expressive drawings, with subjective evaluations indicating that children often preferred the AI-generated images to those drawn by their peers. KIDO serves as a comprehensive benchmark for advancing research in the fields of computer vision, natural language processing, psychology, and education, and is publicly available at github.com/serdarciftci/KIDO","2169-3536","","10.1109/ACCESS.2025.3606359","Harran Üniversitesi(grant numbers:22010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11151239","Children’s emotion analysis;classification of children’s drawings;classification of children’s thoughts;KIDO dataset","Pediatrics;Psychology;Feature extraction;Transformers;Machine learning algorithms;Accuracy;Motors;Emotion recognition;Depression;Autism","","","","63","CCBY","4 Sep 2025","2025","","IEEE","IEEE Journals"
"Active Speaker Detection Using Audio, Visual, and Depth Modalities: A Survey","S. Nur Aisyah Mohd Robi; M. Atiff Zakwan Mohd Ariffin; M. A. Mohd Izhar; N. Ahmad; H. Mad Kaidi","Faculty of Artificial Intelligence, Universiti Teknologi Malaysia (UTM), Kuala Lumpur, Malaysia; Faculty of Artificial Intelligence, Universiti Teknologi Malaysia (UTM), Kuala Lumpur, Malaysia; Faculty of Artificial Intelligence, Universiti Teknologi Malaysia (UTM), Kuala Lumpur, Malaysia; Faculty of Artificial Intelligence, Universiti Teknologi Malaysia (UTM), Kuala Lumpur, Malaysia; Faculty of Artificial Intelligence, Universiti Teknologi Malaysia (UTM), Kuala Lumpur, Malaysia",IEEE Access,"17 Jul 2024","2024","12","","96617","96634","The rapid progress of multimodal signal processing in recent years has cleared the way for novel applications in human-computer interaction, surveillance, and telecommunication. Active Speaker Detection (ASD) is a critical pre-processing step with numerous applications such as voice recognition, speaker diarization, and noise reduction. This paper comprehensively reviews ASD, including various ASD methods and datasets based on these three modalities - audio, visual and/or depth modalities. ASD methods are broadly categorised into two categories: single modality ASD and multi-modality ASD. This review looks at the most common ASD modalities, which include audio-based ASD (A-ASD), visual-based ASD (V-ASD), audio-visual ASD (AV-ASD), and audio-visual-depth ASD (AVD-ASD). Each strategy is well-detailed, including model-based and neural network-based approaches. Finally, the challenges and future research opportunities are highlighted in order to expand its broader use.","2169-3536","","10.1109/ACCESS.2024.3426670","Ministry of Higher Education (MoHE) of Malaysia through the Fundamental Research Grant Scheme(grant numbers:FRGS/1/2021/TK0/UTM/02/67); Universiti Teknologi Malaysia (UTM) School of Professional and Continuing Education (SPACE) Contract Research(grant numbers:UTMSPC1.16 (R.K130000.7756.4J554)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10594808","Active speaker detection;voice activity detection;multi-modalities;audio-visual processing;deep learning","Visualization;Speech recognition;Reviews;Cameras;Accuracy;Surveys;Microphones;Detection algorithms;Audio-visual systems","","2","","111","CCBYNCND","11 Jul 2024","2024","","IEEE","IEEE Journals"
