"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Gellert, B.M.; Religioni, U.; Raczkiewicz, D.; Ostrowski, J.; Pinkas, J.","Gellert, Beata Maja (59160519400); Religioni, Urszula (55317863500); Raczkiewicz, Dorota (55963864800); Ostrowski, Janusz (56210399400); Pinkas, Jarosław (57221859824)","59160519400; 55317863500; 55963864800; 56210399400; 57221859824","Knowledge and attitudes toward Autism Spectrum Disorder in Poland – results of a national survey and identification of key areas for educational initiatives","2025","Annals of Agricultural and Environmental Medicine","32","3","","368","376","0","10.26444/aaem/200209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017137539&doi=10.26444%2Faaem%2F200209&partnerID=40&md5=c21a201288d6738ab4dc1547fadf425c","Department of Medical Communication, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; Departament of Medical Economics, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; Department of Medical Statistics, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; School of Public Health, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland","Gellert, Beata Maja, Department of Medical Communication, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; Religioni, Urszula, Departament of Medical Economics, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; Raczkiewicz, Dorota, Department of Medical Statistics, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; Ostrowski, Janusz, School of Public Health, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland; Pinkas, Jarosław, School of Public Health, Centrum Medyczne Kształcenia Podyplomowego, Warszawa, Warsaw, Poland","B.M. Gellert; School of Public Health, Department of Medical Communication, Centre of Postgraduate Medical Education, Warsaw, Poland; email: bgellert@cmkp.edu.pl","","Institute of Agricultural Medicine","12321966","","AAAEF","41025182","English","Ann. Agric. Environ. Med.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105017137539"
"Iannuzzelli, C.C.; Iannuzzelli, A.L.; Cunha, B.; Venkataraman, V.; Aita, W.","Iannuzzelli, Christian C. (60097645300); Iannuzzelli, Andrea L. (60098083900); Cunha, Brandon (60098001800); Venkataraman, Venkateswar (7005737842); Aita, Wendy (60097910100)","60097645300; 60098083900; 60098001800; 7005737842; 60097910100","Exploring the impact of methylenetetrahydrofolate reductase (MTHFR) gene variations on autism spectrum disorder severity","2025","Journal of Osteopathic Medicine","","","","","","0","10.1515/jom-2025-0004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015863894&doi=10.1515%2Fjom-2025-0004&partnerID=40&md5=6ec2c692a26d8c227c401b70a3ca9399","Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States; Rowan Integrated Special Needs Center (an affiliate of Virtua Medical Group), Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States; Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States","Iannuzzelli, Christian C., Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States; Iannuzzelli, Andrea L., Rowan Integrated Special Needs Center (an affiliate of Virtua Medical Group), Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States; Cunha, Brandon, Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States; Venkataraman, Venkateswar, Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States; Aita, Wendy, Rowan Integrated Special Needs Center (an affiliate of Virtua Medical Group), Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ, United States","C.C. Iannuzzelli; Rowan-Virtua School of Osteopathic Medicine, Stratford, 113 Laurel Road, 08084-1501, United States; email: iannuz57@rowan.edu","","Walter de Gruyter GmbH","","","","","English","J. Osteopath. Med.","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015863894"
"Trice, K.M.; Qi, Z.","Trice, Katherine (58023646600); Qi, Zhenghan (57192666551)","58023646600; 57192666551","From encoding to remembering: pragmatic inferences reveal distinct routes of word learning in autistic children","2025","Frontiers in Human Neuroscience","19","","1633013","","","0","10.3389/fnhum.2025.1633013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015578619&doi=10.3389%2Ffnhum.2025.1633013&partnerID=40&md5=0b147e9481bd0e6ebd3136ff509044b2","Department of Psychology, Northeastern University, Boston, MA, United States; Department of Communication Sciences and Disorders, Northeastern University, Boston, MA, United States","Trice, Katherine, Department of Psychology, Northeastern University, Boston, MA, United States; Qi, Zhenghan, Department of Psychology, Northeastern University, Boston, MA, United States, Department of Communication Sciences and Disorders, Northeastern University, Boston, MA, United States","K.M. Trice; Department of Psychology, Northeastern University, Boston, United States; email: trice.k@northestern.edu","","Frontiers Media SA","16625161","","","","English","Front. Human Neurosci.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105015578619"
"Li, S.; Bo, Y.; Chen, Y.; Cao, J.; Bi, B.; Ma, T.; Ye, C.","Li, Shusheng (60087260000); Bo, Yang (60087194700); Chen, Yuchu (60087055800); Cao, Jianfeng (60087127000); Bi, Bo (59432196600); Ma, Ting (57194030386); Ye, Chenfei (56369884700)","60087260000; 60087194700; 60087055800; 60087127000; 59432196600; 57194030386; 56369884700","Multiscale Contextual Mamba: Advancing Psychiatric Disorder Detection across Multisite Functional Magnetic Resonance Imaging Datasets via State Space Modeling","2025","Health Data Science","5","","0224","","","0","10.34133/hds.0224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015159868&doi=10.34133%2Fhds.0224&partnerID=40&md5=ca4cdcd2e8aa8655d0a85a9e7e8d7a13","International Research Institute for Artificial Intelligence, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China; Huawei Hong Kong Research Center, Hong Kong, Hong Kong, Hong Kong; Department of Electronic and Information Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China; School of Biomedical Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China; Department of Clinical Psychology, Sun Yat-Sen University, Guangzhou, Guangdong, China; Peng Cheng Laboratory, Shenzhen, Guangdong, China","Li, Shusheng, International Research Institute for Artificial Intelligence, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China; Bo, Yang, Huawei Hong Kong Research Center, Hong Kong, Hong Kong, Hong Kong; Chen, Yuchu, Department of Electronic and Information Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China; Cao, Jianfeng, School of Biomedical Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China; Bi, Bo, Department of Clinical Psychology, Sun Yat-Sen University, Guangzhou, Guangdong, China; Ma, Ting, International Research Institute for Artificial Intelligence, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China, Department of Electronic and Information Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China, School of Biomedical Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China, Peng Cheng Laboratory, Shenzhen, Guangdong, China; Ye, Chenfei, School of Biomedical Engineering, Harbin Institute of Technology Shenzhen, Shenzhen, Guangdong, China","T. Ma; International Research Institute for Artificial Intelligence, Harbin Institute of Technology (Shenzhen), Shenzhen, China; email: tma@hit.edu.cn; C. Ye; School of Biomedical Engineering, Harbin Institute of Technology (Shenzhen), Shenzhen, China; email: chenfei.ye@foxmail.com","","American Association for the Advancement of Science","20971095","","","","English","Health. Data. Sci.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105015159868"
"Hoeberichts, K.; Roke, Y.; Damen, F.; Niks, I.; van Harten, P.N.","Hoeberichts, Kirsten (57992373900); Roke, Yvette (34168229200); Damen, Frank (60082172000); Niks, Irene M.W. (55611967100); van Harten, Peter Nicolaas (7003481573)","57992373900; 34168229200; 60082172000; 55611967100; 7003481573","A qualitative study of the stress autism mate app among autistic adults: user experiences and effects on stress awareness and coping skills","2025","Frontiers in Psychiatry","16","","1637008","","","0","10.3389/fpsyt.2025.1637008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014893619&doi=10.3389%2Ffpsyt.2025.1637008&partnerID=40&md5=34065b5b4bd25bc8767d7afaf6d6c92d","GGz Centraal, Almere, Netherlands; Department of Psychiatry and Neuropsychology, Universiteit Maastricht, Maastricht, Limburg, Netherlands; Department of Psychiatry, GGz Centraal, Amersfoort, Netherlands; Department Work, Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Zuid-Holland, Netherlands","Hoeberichts, Kirsten, GGz Centraal, Almere, Netherlands, Department of Psychiatry and Neuropsychology, Universiteit Maastricht, Maastricht, Limburg, Netherlands, Department of Psychiatry, GGz Centraal, Amersfoort, Netherlands; Roke, Yvette, GGz Centraal, Almere, Netherlands, Department of Psychiatry, GGz Centraal, Amersfoort, Netherlands; Damen, Frank, Department of Psychiatry, GGz Centraal, Amersfoort, Netherlands; Niks, Irene M.W., Department Work, Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO, The Hague, Zuid-Holland, Netherlands; van Harten, Peter Nicolaas, Department of Psychiatry and Neuropsychology, Universiteit Maastricht, Maastricht, Limburg, Netherlands, Department of Psychiatry, GGz Centraal, Amersfoort, Netherlands","K. Hoeberichts; Expertise Centre Specialised in Autism Spectrum Disorder, GGz Centraal, Almere, Netherlands; email: k.hoeberichts@ggzcentraal.nl","","Frontiers Media SA","","","","","English","Front. Psychiatry","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014893619"
"Al Futaisi, N.D.; Schuller, B.W.; Ringeval, F.; Pantic, M.","Al Futaisi, Najla D. (57211746867); Schuller, Björn W. (6603767415); Ringeval, Fabien (25960335900); Pantic, Maja (56259551600)","57211746867; 6603767415; 25960335900; 56259551600","The Noor Project: fair transformer transfer learning for autism spectrum disorder recognition from speech","2025","Frontiers in Digital Health","7","","1274675","","","2","10.3389/fdgth.2025.1274675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014752394&doi=10.3389%2Ffdgth.2025.1274675&partnerID=40&md5=d900999de5b0ddcc90e1702e72f26637","& Music, Imperial College London, London, United Kingdom; Chair of Embedded Intelligence for Health Care and Wellbeing, Universität Augsburg, Augsburg, Bayern, Germany; Université Grenoble Alpes, Saint Martin d'Heres, Auvergne-Rhone-Alpes, France; Intelligent Behaviour Understanding Group, Imperial College London, London, United Kingdom","Al Futaisi, Najla D., & Music, Imperial College London, London, United Kingdom; Schuller, Björn W., & Music, Imperial College London, London, United Kingdom, Chair of Embedded Intelligence for Health Care and Wellbeing, Universität Augsburg, Augsburg, Bayern, Germany; Ringeval, Fabien, Université Grenoble Alpes, Saint Martin d'Heres, Auvergne-Rhone-Alpes, France; Pantic, Maja, Intelligent Behaviour Understanding Group, Imperial College London, London, United Kingdom","N.D. Al Futaisi; GLAM – Group on Language, Audio & Music, Imperial College London, London, United Kingdom; email: n.al-futaisi18@imperial.ac.uk","","Frontiers Media SA","","","","","English","Front. Digit. Health","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014752394"
"Yan, W.; Zhai, T.; Li, Y.; Chen, J.; Sun, Z.; Lin, Y.; Zhang, X.; Du, Y.","Yan, Wenjie (58786283000); Zhai, Tianyu (58786454800); Li, Yan (59952792400); Chen, Jing (55717595500); Sun, Zhixin (58703621000); Lin, Yuxiong (57575913400); Zhang, Xiyan (57221971248); Du, Yasong (35214220400)","58786283000; 58786454800; 59952792400; 55717595500; 58703621000; 57575913400; 57221971248; 35214220400","Effects of immersive virtual reality training on the adaptive skills of children and adolescents with high functioning autism spectrum disorder: a mixed-methods pre-post study","2025","Frontiers in Psychiatry","16","","1570437","","","0","10.3389/fpsyt.2025.1570437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014602294&doi=10.3389%2Ffpsyt.2025.1570437&partnerID=40&md5=d362192f2937a6d480b4fab5750f4608","Shanghai Mental Health Center, Shanghai, China; Clinical Research Center for Mental Disorders, Tongji University School of Medicine, Shanghai, China","Yan, Wenjie, Shanghai Mental Health Center, Shanghai, China; Zhai, Tianyu, Shanghai Mental Health Center, Shanghai, China; Li, Yan, Shanghai Mental Health Center, Shanghai, China; Chen, Jing, Shanghai Mental Health Center, Shanghai, China; Sun, Zhixin, Shanghai Mental Health Center, Shanghai, China; Lin, Yuxiong, Shanghai Mental Health Center, Shanghai, China; Zhang, Xiyan, Clinical Research Center for Mental Disorders, Tongji University School of Medicine, Shanghai, China; Du, Yasong, Shanghai Mental Health Center, Shanghai, China","Y. Du; Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, Shanghai, China; email: yasongdu@163.com","","Frontiers Media SA","","","","","English","Front. Psychiatry","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014602294"
"Sariyanidi, E.; Yankowitz, L.; Schultz, R.T.; Herrington, J.D.; Tunç, B.; Cohn, J.","Sariyanidi, Evangelos (43261751100); Yankowitz, Lisa D. (57203241986); Schultz, Robert T. (7401556290); Herrington, John D. (35884707600); Tunç, Birkan (36062061700); Cohn, Jeffrey F. (55423536000)","43261751100; 57203241986; 7401556290; 35884707600; 36062061700; 55423536000","Beyond FACS: Data-driven Facial Expression Dictionaries, with Application to Predicting Autism","2025","2025 IEEE 19th International Conference on Automatic Face and Gesture Recognition, FG 2025","","","","","","1","10.1109/FG61629.2025.11099288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014504310&doi=10.1109%2FFG61629.2025.11099288&partnerID=40&md5=8e7e689e2c8c57d54149df367c7ae2fe","Center for Autism Research, The Children's Hospital of Philadelphia, Philadelphia, PA, United States; Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States; University of Pittsburgh School of Medicine, Pittsburgh, PA, United States","Sariyanidi, Evangelos, Center for Autism Research, The Children's Hospital of Philadelphia, Philadelphia, PA, United States; Yankowitz, Lisa D., Center for Autism Research, The Children's Hospital of Philadelphia, Philadelphia, PA, United States; Schultz, Robert T., Center for Autism Research, The Children's Hospital of Philadelphia, Philadelphia, PA, United States, Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States; Herrington, John D., Center for Autism Research, The Children's Hospital of Philadelphia, Philadelphia, PA, United States, Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States; Tunç, Birkan, Center for Autism Research, The Children's Hospital of Philadelphia, Philadelphia, PA, United States, Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States; Cohn, Jeffrey F., University of Pittsburgh School of Medicine, Pittsburgh, PA, United States","","","Institute of Electrical and Electronics Engineers Inc.","","9798331553418","","","English","IEEE Int. Conf. Autom. Face Gesture Recognit., FG","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014504310"
"Eldawansy, M.; El-Bakry, H.; Shohieb, S.M.","Eldawansy, Mohamed (60035264800); El-Bakry, Hazem M. M. (6603728802); Shohieb, Samaa Mohammed (35732657300)","60035264800; 6603728802; 35732657300","Data Mining–Based Model for Computer-Aided Diagnosis of Autism and Gelotophobia: Mixed Methods Deep Learning Approach","2025","JMIR Formative Research","9","","e72115","","","0","10.2196/72115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012986644&doi=10.2196%2F72115&partnerID=40&md5=4d7b02bf6b1c097d523b8d39d8735161","Information Systems Department, Faculty of Computer and Information, Mansoura, Dakahlia, Egypt","Eldawansy, Mohamed, Information Systems Department, Faculty of Computer and Information, Mansoura, Dakahlia, Egypt; El-Bakry, Hazem M. M., Information Systems Department, Faculty of Computer and Information, Mansoura, Dakahlia, Egypt; Shohieb, Samaa Mohammed, Information Systems Department, Faculty of Computer and Information, Mansoura, Dakahlia, Egypt","S.M. Shohieb; Information Systems, Faculty of Computers and Information, Mansoura University, Mansoura, Egypt; email: sm_shohieb@mans.edu.eg","","JMIR Publications Inc.","","","","","English","JMIR Form. Res.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012986644"
"Wall, N.G.; Smith, O.; Campbell, L.; Loughland, C.; Schall, U.","Wall, Natalie (57204083254); Smith, Oliver (59700798900); Campbell, Linda E. (35236206700); Loughland, Carmel Maree (6602089677); Schall, Ulrich (57211236659)","57204083254; 59700798900; 35236206700; 6602089677; 57211236659","Using EEG and Eye Tracking to Evaluate an Emotion Recognition iPad App for Autistic Children","2025","Clinical EEG and Neuroscience","","","15500594251362402","","","1","10.1177/15500594251362402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012717642&doi=10.1177%2F15500594251362402&partnerID=40&md5=19044c8ec865ec2fa9b760c80a5f5095","School of Medicine and Public Health, Callaghan, NSW, Australia; Hunter Medical Research Institute, Australia, Newcastle, NSW, Australia; University of Newcastle, College of Health, Medicine and Wellbeing, Callaghan, NSW, Australia; School of Psychology, The University of Newcastle, Australia, Callaghan, NSW, Australia","Wall, Natalie, School of Medicine and Public Health, Callaghan, NSW, Australia, Hunter Medical Research Institute, Australia, Newcastle, NSW, Australia, University of Newcastle, College of Health, Medicine and Wellbeing, Callaghan, NSW, Australia; Smith, Oliver, School of Medicine and Public Health, Callaghan, NSW, Australia, Hunter Medical Research Institute, Australia, Newcastle, NSW, Australia, University of Newcastle, College of Health, Medicine and Wellbeing, Callaghan, NSW, Australia; Campbell, Linda E., Hunter Medical Research Institute, Australia, Newcastle, NSW, Australia, University of Newcastle, College of Health, Medicine and Wellbeing, Callaghan, NSW, Australia, School of Psychology, The University of Newcastle, Australia, Callaghan, NSW, Australia; Loughland, Carmel Maree, Hunter Medical Research Institute, Australia, Newcastle, NSW, Australia, University of Newcastle, College of Health, Medicine and Wellbeing, Callaghan, NSW, Australia; Schall, Ulrich, School of Medicine and Public Health, Callaghan, NSW, Australia, Hunter Medical Research Institute, Australia, Newcastle, NSW, Australia, University of Newcastle, College of Health, Medicine and Wellbeing, Callaghan, NSW, Australia","N.G. Wall; School of Medicine and Public Health, The University of Newcastle, Callaghan, Australia; email: n.white-wall@westernsydney.edu.au","","SAGE Publications Inc.","15500594","","CENLB","","English","Clin. EEG Neurosci.","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012717642"
"Kałwa, A.; Popek, L.; Żurowska, N.; Opidowicz, M.; Malinowska, K.; Jabłońska, A.; Wojtasik, J.; Borkowska, A.","Kałwa, Agnieszka (6507819104); Popek, Lidia (6505931747); Żurowska, Natasza (57200391186); Opidowicz, Monika (60023405100); Malinowska, Katarzyna (60022839900); Jabłońska, Agata (60023124200); Wojtasik, Jakub (57897047600); Borkowska, Alina (7004360782)","6507819104; 6505931747; 57200391186; 60023405100; 60022839900; 60023124200; 57897047600; 7004360782","Can AI-assisted therapy (PARO robot) be a treatment option for children hospitalised in an acute mental health ward? A pilot study.; Czy sztuczna inteligencja (robot PARO) może być przydatna w terapii dzieci hospitalizowanych w ostrym oddziale psychiatrycznym? Badanie pilotażowe","2025","Psychiatria Polska","59","3","","","","1","10.12740/PP/OnlineFirst/188053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012211284&doi=10.12740%2FPP%2FOnlineFirst%2F188053&partnerID=40&md5=e74cfe1ce140266eb74a4fd6fc52a1b6","Psychiatric Department for Children, Hospital in Jozefow, Poland; Psychiatric Rehabilitation Day Unit for Developmental Age in Jozefow, Hospital in Jozefow, Poland; Centre for Statistical Analysis, Uniwersytet Mikołaja Kopernika w Toruniu, Torun, KP, Poland; Department of Clinical Neuropsychology, Ludwik Rydygier Collegium Medicum in Bydgoszcz, Bydgoszcz, KP, Poland","Kałwa, Agnieszka, Psychiatric Department for Children, Hospital in Jozefow, Poland; Popek, Lidia, Psychiatric Department for Children, Hospital in Jozefow, Poland; Żurowska, Natasza, Psychiatric Department for Children, Hospital in Jozefow, Poland; Opidowicz, Monika, Psychiatric Department for Children, Hospital in Jozefow, Poland; Malinowska, Katarzyna, Psychiatric Department for Children, Hospital in Jozefow, Poland; Jabłońska, Agata, Psychiatric Rehabilitation Day Unit for Developmental Age in Jozefow, Hospital in Jozefow, Poland; Wojtasik, Jakub, Centre for Statistical Analysis, Uniwersytet Mikołaja Kopernika w Toruniu, Torun, KP, Poland; Borkowska, Alina, Department of Clinical Neuropsychology, Ludwik Rydygier Collegium Medicum in Bydgoszcz, Bydgoszcz, KP, Poland","A. Kałwa; Mazovian Neuropsychiatric Centre Ltd., Hospital in Jozefow, Psychiatric Department for Children, Poland; email: agnieszka.kalwa@centrumzagorze.pl","","Polish Psychiatric Association","00332674","","PSPOB","40080660","English","Psychiatr. Pol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012211284"
"Herzl, T.; Fuchshuber, J.; Straßnig, S.; Latifi, A.; Walla, P.; Fink, A.; Unterrainer, H.-F.","Herzl, Tobias (59804618700); Fuchshuber, Jürgen (57194153087); Straßnig, Sarah (59811360500); Latifi, Afrodita (59806843600); Walla, Peter (7003872694); Fink, Andreas (57198346761); Unterrainer, Human Friedrich (35486022500)","59804618700; 57194153087; 59811360500; 59806843600; 7003872694; 57198346761; 35486022500","The development and initial findings of a DISGUST scale","2025","Frontiers in Human Neuroscience","19","","1607506","","","0","10.3389/fnhum.2025.1607506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012024745&doi=10.3389%2Ffnhum.2025.1607506&partnerID=40&md5=37065ba3e885d280bc38ae4632c03ac9","Universität Graz, Graz, Styria, Austria; Grüner Kreis Society, Vienna, Vienna, Austria; Department of Psychoanalysis and Psychotherapy, Medizinische Universität Wien, Vienna, Vienna, Austria; Comprehensive Center for Clinical Neurosciences and Mental Health, Medizinische Universität Wien, Vienna, Vienna, Austria; Department of Psychiatry and Psychotherapeutic Medicine, Medizinische Universität Graz, Graz, Styria, Austria; Faculty of Psychology, Sigmund Freud Privatuniversitat Wien, Vienna, Vienna, Austria; Faculty of Medicine, Sigmund Freud Privatuniversitat Wien, Vienna, Vienna, Austria; School of Psychology, The University of Newcastle, Australia, Callaghan, NSW, Australia; Department of Religious Studies, Universität Wien, Vienna, Vienna, Austria; Faculty of Psychotherapy Science, Sigmund Freud Privatuniversitat Wien, Vienna, Vienna, Austria","Herzl, Tobias, Universität Graz, Graz, Styria, Austria; Fuchshuber, Jürgen, Grüner Kreis Society, Vienna, Vienna, Austria, Department of Psychoanalysis and Psychotherapy, Medizinische Universität Wien, Vienna, Vienna, Austria, Comprehensive Center for Clinical Neurosciences and Mental Health, Medizinische Universität Wien, Vienna, Vienna, Austria; Straßnig, Sarah, Universität Graz, Graz, Styria, Austria; Latifi, Afrodita, Department of Psychiatry and Psychotherapeutic Medicine, Medizinische Universität Graz, Graz, Styria, Austria; Walla, Peter, Faculty of Psychology, Sigmund Freud Privatuniversitat Wien, Vienna, Vienna, Austria, Faculty of Medicine, Sigmund Freud Privatuniversitat Wien, Vienna, Vienna, Austria, School of Psychology, The University of Newcastle, Australia, Callaghan, NSW, Australia; Fink, Andreas, Universität Graz, Graz, Styria, Austria; Unterrainer, Human Friedrich, Universität Graz, Graz, Styria, Austria, Grüner Kreis Society, Vienna, Vienna, Austria, Department of Psychiatry and Psychotherapeutic Medicine, Medizinische Universität Graz, Graz, Styria, Austria, Department of Religious Studies, Universität Wien, Vienna, Vienna, Austria, Faculty of Psychotherapy Science, Sigmund Freud Privatuniversitat Wien, Vienna, Vienna, Austria","H.-F. Unterrainer; Institute of Psychology, University of Graz, Graz, Austria; email: human.unterrainer@univie.ac.at","","Frontiers Media SA","16625161","","","","English","Front. Human Neurosci.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012024745"
"Toolan, C.; Singer, H.; Freeman, S.; Paparella, T.; Elias, R.; Tsvetovat, M.; Lord, C.","Toolan, Christina K. (57226158424); Singer, Hannah (58154102300); Freeman, Stephanny F.N. (7202138771); Paparella, Tanya (6506818432); Elias, Rebecca (55657100400); Tsvetovat, Maksim (6506546221); Lord, Catherine E. (9634532200)","57226158424; 58154102300; 7202138771; 6506818432; 55657100400; 6506546221; 9634532200","Online coding of the Brief Observation of Social Communication Change (BOSCC) to capture treatment response in minimally verbal children with autism spectrum disorder","2025","Digital Health","11","","20552076251347105","","","0","10.1177/20552076251347105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010897324&doi=10.1177%2F20552076251347105&partnerID=40&md5=3ccac089e2934465a629c2d1d06d5185","Department of Child Development, California State University, Dominguez Hills, Carson, CA, United States; Department of Psychiatry, University of California, Los Angeles, Los Angeles, CA, United States; Department of Information Studies, University of California, Los Angeles, Los Angeles, CA, United States; Department of Psychiatry, Children's Hospital Los Angeles, Los Angeles, CA, United States; Department of Psychiatry and Behavioral Sciences, Keck School of Medicine of USC, Los Angeles, CA, United States; Open Health Network, Mountain View, CA, United States","Toolan, Christina K., Department of Child Development, California State University, Dominguez Hills, Carson, CA, United States; Singer, Hannah, Department of Psychiatry, University of California, Los Angeles, Los Angeles, CA, United States, Department of Information Studies, University of California, Los Angeles, Los Angeles, CA, United States; Freeman, Stephanny F.N., Department of Psychiatry, University of California, Los Angeles, Los Angeles, CA, United States; Paparella, Tanya, Department of Psychiatry, University of California, Los Angeles, Los Angeles, CA, United States; Elias, Rebecca, Department of Psychiatry, Children's Hospital Los Angeles, Los Angeles, CA, United States, Department of Psychiatry and Behavioral Sciences, Keck School of Medicine of USC, Los Angeles, CA, United States; Tsvetovat, Maksim, Open Health Network, Mountain View, CA, United States; Lord, Catherine E., Department of Psychiatry, University of California, Los Angeles, Los Angeles, CA, United States, Department of Information Studies, University of California, Los Angeles, Los Angeles, CA, United States","C. Lord; Department of Psychiatry, University of California, Los Angeles, United States; email: CLord@mednet.ucla.edu","","SAGE Publications Inc.","","","","","English","Digit. Health","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105010897324"
"Khan, T.; Cherkas, K.; Francis, N.A.","Khan, Tausif (59979114700); Cherkas, Kostiantyn (59978971900); Francis, Nikolas A. (56777289100)","59979114700; 59978971900; 56777289100","Quantifying social distance using deep learning-based video analysis: results from the BTBR mouse model of autism","2025","Frontiers in Behavioral Neuroscience","19","","1602205","","","1","10.3389/fnbeh.2025.1602205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009876954&doi=10.3389%2Ffnbeh.2025.1602205&partnerID=40&md5=0328b80dabc6c339079dfec2748ed03b","College of Computer, Mathematical, & Natural Sciences, College Park, MD, United States; Program in Applied Machine Learning, University of Maryland, College Park, College Park, MD, United States; Brain and Behavior Institute, University of Maryland, College Park, College Park, MD, United States","Khan, Tausif, College of Computer, Mathematical, & Natural Sciences, College Park, MD, United States, Program in Applied Machine Learning, University of Maryland, College Park, College Park, MD, United States; Cherkas, Kostiantyn, Brain and Behavior Institute, University of Maryland, College Park, College Park, MD, United States; Francis, Nikolas A., College of Computer, Mathematical, & Natural Sciences, College Park, MD, United States, Brain and Behavior Institute, University of Maryland, College Park, College Park, MD, United States","N.A. Francis; Department of Biology, University of Maryland, College Park, United States; email: cortex@umd.edu","","Frontiers Media SA","16625153","","","","English","Front. Behav. Neurosci.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105009876954"
